mse,ssim_indices,psnr_indices
0.021712083,0.5415557,19.322751761005154
0.021373546,0.5462819,19.447148887064568
0.021034,0.5435253,19.578425754352097
0.020710148,0.5463163,19.703189498905303
0.02099906,0.55042726,19.586629943628804
0.02086296,0.5529718,19.637847798657685
0.021554565,0.5426904,19.374866737893853
0.020939142,0.54833883,19.61406855784864
0.021195423,0.5460155,19.522630001233743
0.021414712,0.5405149,19.42809879753455
0.021770742,0.5385189,19.301450093110365
0.020806242,0.55112594,19.668592873733722
0.022173166,0.5392994,19.153087530062916
0.020424016,0.5562766,19.83000157557196
0.021342274,0.54900026,19.459141990382392
0.0220981,0.5427093,19.176392775473253
0.020233227,0.554382,19.900715832740637
0.020715859,0.55175084,19.697468278144402
0.021461979,0.5439618,19.414699921290357
0.020311132,0.5563069,19.864450157965543
0.020321291,0.5564184,19.862272927306453
0.020283168,0.5552652,19.881906250574072
0.0203607,0.55470353,19.851883563705904
0.021055585,0.5471892,19.56206435746344
0.020361936,0.5498862,19.850956392092925
0.020429619,0.5531241,19.823925539240154
0.020698383,0.55004054,19.711895302620462
0.020398473,0.55710024,19.826165710084986
0.020295983,0.55512077,19.87601622299101
0.020282805,0.5513672,19.88113298984626
0.020139448,0.5562377,19.941795057938158
0.020115536,0.5591905,19.960760525824643
0.020655585,0.5551483,19.73039684441022
0.020344224,0.5556807,19.856315292049093
0.020742944,0.5513753,19.697328126914666
0.020140931,0.5590899,19.941084616994345
0.020214798,0.5569721,19.908871811783587
0.020512242,0.55405784,19.790369285574442
0.020222297,0.5560135,19.905161560870567
0.01930373,0.5655818,20.32275398938752
0.019874766,0.5592874,20.062356078263047
0.019739842,0.5631879,20.11845829911187
0.01986484,0.5596052,20.05378649151298
0.020013452,0.5552252,19.989887440605486
0.020395208,0.5504145,19.835297297239077
0.02017202,0.5600609,19.92291087897935
0.019465996,0.5619083,20.236995824331885
0.019748636,0.56090516,20.11342455729026
0.02003151,0.5582283,19.98642961563531
0.019916266,0.5595143,20.040242068657133
0.01962294,0.5644401,20.17463040597451
0.019405704,0.5649726,20.275277463501006
0.019796226,0.5645886,20.087131769977148
